,ethnic origin,baseline_share,threshold,N_samples,sample_share
13,13,0.057063048683160415,0.5,127,0.05507372072853426
14,14,0.05865921787709497,0.5,145,0.06287944492627927
15,15,0.06225059856344772,0.5,123,0.05333911535125759
16,16,0.05905826017557861,0.5,122,0.05290546400693842
0,0,0.05865921787709497,0.55,144,0.06419973250111458
1,1,0.05826017557861133,0.55,146,0.06509139545251895
2,2,0.05746209098164405,0.55,114,0.05082478823004904
3,3,0.06264964086193137,0.55,159,0.07088720463664734
4,4,0.06225059856344772,0.55,110,0.049041462327240305
5,5,0.06424581005586592,0.55,135,0.06018724921979492
6,6,0.06544293695131684,0.55,153,0.06821221578243424
7,7,0.057063048683160415,0.55,147,0.06553722692822113
8,8,0.060654429369513166,0.55,136,0.0606330806954971
9,9,0.060654429369513166,0.55,146,0.06509139545251895
10,10,0.05905826017557861,0.55,143,0.0637539010254124
11,11,0.06025538707102953,0.55,136,0.0606330806954971
12,12,0.036312849162011177,0.55,75,0.03343736067766384
13,13,0.057063048683160415,0.55,122,0.05439144003566652
14,14,0.05865921787709497,0.55,142,0.06330806954971022
15,15,0.06225059856344772,0.55,116,0.05171645118145341
16,16,0.05905826017557861,0.55,119,0.053053945608559964
0,0,0.05865921787709497,0.6,141,0.06456043956043957
1,1,0.05826017557861133,0.6,139,0.06364468864468864
2,2,0.05746209098164405,0.6,102,0.046703296703296704
3,3,0.06264964086193137,0.6,154,0.07051282051282051
4,4,0.06225059856344772,0.6,108,0.04945054945054945
5,5,0.06424581005586592,0.6,127,0.05815018315018315
6,6,0.06544293695131684,0.6,147,0.0673076923076923
7,7,0.057063048683160415,0.6,147,0.0673076923076923
8,8,0.060654429369513166,0.6,135,0.061813186813186816
9,9,0.060654429369513166,0.6,145,0.06639194139194139
10,10,0.05905826017557861,0.6,142,0.06501831501831502
11,11,0.06025538707102953,0.6,135,0.061813186813186816
12,12,0.036312849162011177,0.6,75,0.034340659340659344
13,13,0.057063048683160415,0.6,119,0.05448717948717949
14,14,0.05865921787709497,0.6,138,0.06318681318681318
15,15,0.06225059856344772,0.6,111,0.050824175824175824
16,16,0.05905826017557861,0.6,119,0.05448717948717949
0,0,0.05865921787709497,0.65,140,0.06613131790269249
1,1,0.05826017557861133,0.65,132,0.06235238545111006
2,2,0.05746209098164405,0.65,101,0.047709022201228156
3,3,0.06264964086193137,0.65,147,0.06943788379782712
4,4,0.06225059856344772,0.65,104,0.04912612187057156
5,5,0.06424581005586592,0.65,121,0.05715635333018422
6,6,0.06544293695131684,0.65,141,0.06660368445914029
7,7,0.057063048683160415,0.65,140,0.06613131790269249
8,8,0.060654429369513166,0.65,131,0.061880018894662256
9,9,0.060654429369513166,0.65,142,0.0670760510155881
10,10,0.05905826017557861,0.65,142,0.0670760510155881
11,11,0.06025538707102953,0.65,131,0.061880018894662256
12,12,0.036312849162011177,0.65,74,0.03495512517713746
13,13,0.057063048683160415,0.65,115,0.0543221539914974
14,14,0.05865921787709497,0.65,134,0.06329711856400567
15,15,0.06225059856344772,0.65,103,0.04865375531412376
16,16,0.05905826017557861,0.65,119,0.056211620217288615
0,0,0.05865921787709497,0.7,138,0.0673828125
1,1,0.05826017557861133,0.7,125,0.06103515625
2,2,0.05746209098164405,0.7,98,0.0478515625
3,3,0.06264964086193137,0.7,140,0.068359375
4,4,0.06225059856344772,0.7,100,0.048828125
5,5,0.06424581005586592,0.7,115,0.05615234375
6,6,0.06544293695131684,0.7,135,0.06591796875
7,7,0.057063048683160415,0.7,136,0.06640625
8,8,0.060654429369513166,0.7,127,0.06201171875
9,9,0.060654429369513166,0.7,140,0.068359375
10,10,0.05905826017557861,0.7,141,0.06884765625
11,11,0.06025538707102953,0.7,127,0.06201171875
12,12,0.036312849162011177,0.7,71,0.03466796875
13,13,0.057063048683160415,0.7,108,0.052734375
14,14,0.05865921787709497,0.7,133,0.06494140625
15,15,0.06225059856344772,0.7,97,0.04736328125
16,16,0.05905826017557861,0.7,117,0.05712890625
